suhu,curah_hujan,kelembaban,ph_tanah,nitrogen,fosfor,kalium,hasil_panen
29.5,981.5,84.0,6.71,31.5,38.6,13.7,3.147
27.6,1227.4,79.2,6.18,42.1,44.5,55.6,3.0
29.9,400.4,70.6,6.07,29.2,25.0,73.5,2.202
32.6,890.7,63.5,6.4,38.8,20.8,165.5,2.994
27.3,587.3,77.0,6.33,7.1,13.7,112.3,2.202
27.3,628.2,73.9,6.22,49.3,17.6,36.6,2.042
32.7,601.9,79.0,6.68,45.0,74.2,109.4,2.751
30.3,534.0,76.4,6.78,28.7,48.7,28.1,2.344
26.6,762.1,80.5,6.44,58.2,9.7,133.3,2.764
29.6,542.3,64.6,6.99,63.8,10.2,71.2,2.26
26.6,817.6,83.2,5.94,12.8,37.2,86.3,2.889
26.6,737.4,72.0,6.32,29.7,38.2,143.0,2.379
28.7,690.3,90.8,6.11,29.6,38.2,38.5,2.918
22.3,523.1,63.1,5.65,26.2,26.2,34.1,1.608
22.8,605.8,87.4,6.37,61.6,28.1,66.7,2.41
26.3,938.8,72.0,6.35,41.1,34.9,131.5,2.958
25.0,875.2,63.5,7.01,39.7,31.3,29.2,2.396
28.9,505.6,65.2,6.65,5.0,2.0,10.0,2.26
25.3,774.8,66.8,5.99,57.7,26.6,72.0,2.875
23.8,937.8,74.2,7.14,20.2,17.2,112.1,2.096
32.4,332.6,75.2,6.89,46.2,32.6,138.0,2.422
27.3,885.8,64.3,6.63,50.5,74.8,71.5,2.202
28.2,584.3,69.8,6.31,72.2,35.5,73.5,2.232
23.7,892.6,91.4,6.02,18.8,25.3,136.2,3.042
26.4,559.2,87.3,6.25,5.0,43.8,15.2,2.061
28.3,298.8,74.4,6.84,48.7,37.2,74.5,1.79
24.5,343.1,70.4,7.15,81.0,36.3,97.6,2.044
29.1,762.0,71.2,7.02,69.8,39.1,108.0,3.25
26.2,814.9,76.1,6.2,49.2,60.8,69.6,2.215
27.1,523.9,59.8,5.95,35.2,13.0,91.4,1.998
26.2,909.6,67.4,6.46,61.1,37.1,10.0,3.103
33.6,334.6,53.3,5.69,25.5,16.1,63.7,2.637
28.0,733.5,74.0,6.53,54.5,38.3,108.1,2.632
24.8,447.2,76.5,6.34,55.1,16.2,50.7,1.813
30.5,587.0,65.2,6.21,66.2,23.7,92.4,3.054
24.3,761.8,85.7,5.76,100.2,25.6,107.9,3.016
28.6,534.9,57.7,6.61,52.8,44.6,76.3,2.578
22.1,653.9,55.4,6.19,34.8,43.8,96.8,2.126
24.0,1001.6,72.2,5.93,44.5,11.3,51.5,2.704
28.6,605.8,80.5,5.5,9.6,30.8,81.7,2.307
30.2,958.9,86.8,6.39,31.1,19.4,114.4,3.005
28.5,467.6,65.4,7.11,36.8,11.1,96.3,2.6
27.7,882.5,80.8,7.06,34.5,26.7,66.5,2.922
27.1,1110.4,69.6,6.22,48.0,25.4,99.0,2.76
23.6,200.0,68.3,6.16,28.6,66.4,118.6,2.216
25.8,550.8,78.8,6.59,67.4,36.5,10.0,2.373
26.6,894.3,76.5,6.0,45.0,9.3,136.4,2.923
31.2,699.2,54.2,6.52,44.8,21.5,76.5,3.004
29.0,842.8,84.8,6.71,38.4,45.3,107.0,2.51
22.7,599.0,83.8,6.89,48.1,61.3,137.9,2.362
29.0,771.6,63.7,6.36,61.5,6.2,35.1,2.488
26.8,711.1,74.0,6.32,27.7,2.0,61.6,2.041
26.0,1041.9,74.9,6.05,31.8,58.1,78.5,2.989
29.8,813.6,72.6,6.07,38.9,35.8,58.6,3.332
31.1,834.4,64.5,6.31,18.1,17.0,159.4,2.351
30.8,647.0,63.3,6.55,28.6,38.0,55.7,2.525
25.5,628.1,69.7,6.77,35.5,2.0,67.8,2.472
27.1,641.9,81.7,6.08,62.5,30.1,98.2,2.526
29.0,848.6,75.4,7.0,50.3,34.9,41.9,2.695
30.9,644.8,66.3,6.29,48.9,43.9,74.2,2.268
26.6,822.4,77.7,6.39,62.0,14.8,102.7,2.751
27.4,1268.9,41.5,6.1,42.3,31.3,76.7,3.009
24.7,967.8,81.5,5.5,52.8,16.1,86.3,2.186
24.4,668.5,52.6,6.75,42.9,33.8,68.8,2.691
30.4,1050.3,66.4,6.69,50.3,16.6,29.4,3.222
32.1,648.0,58.8,6.29,33.3,23.9,102.9,2.613
27.8,240.5,57.1,6.43,5.0,15.1,160.2,2.034
31.0,498.0,81.6,6.61,42.3,39.8,90.7,2.691
29.1,282.3,65.3,5.77,73.5,42.9,99.0,2.207
26.1,662.1,73.5,6.19,63.5,26.5,117.7,2.737
29.1,754.6,69.5,6.72,64.3,30.6,39.2,2.572
32.6,1169.1,74.8,5.9,69.7,8.3,158.1,3.654
27.9,831.7,70.8,6.52,46.8,25.5,98.1,2.809
32.7,695.2,57.2,5.86,48.9,29.2,155.3,2.794
20.1,957.4,80.0,6.59,32.6,69.3,60.7,2.325
30.5,200.0,65.1,6.39,38.7,13.3,162.7,2.146
28.3,808.9,54.4,5.75,57.3,52.0,121.0,2.553
27.1,942.7,65.7,6.87,69.1,45.0,112.1,2.749
28.3,380.4,85.0,6.11,42.2,34.2,99.4,1.982
22.0,1035.9,78.5,6.08,36.0,56.4,80.1,2.517
27.3,834.6,66.5,6.48,45.0,35.6,138.0,3.297
29.1,646.2,66.5,6.86,57.0,35.8,95.6,2.892
32.4,908.2,66.8,5.99,16.1,29.2,11.3,3.269
26.4,1317.7,90.8,6.42,5.0,48.4,45.3,2.856
25.6,795.5,73.8,6.57,34.0,46.4,82.6,2.622
26.5,812.1,74.3,6.68,20.6,20.6,102.4,2.277
30.7,635.2,80.3,6.47,34.8,10.2,87.7,2.345
29.0,537.5,72.4,6.25,42.0,27.0,138.8,2.201
26.4,957.6,67.4,6.07,35.9,18.0,12.0,3.005
29.5,536.0,68.0,6.43,74.0,29.0,95.7,2.378
28.3,767.9,69.3,5.97,51.5,48.6,17.3,2.869
30.9,630.6,69.6,5.5,51.0,23.1,120.4,2.707
25.9,869.7,77.3,6.57,57.4,29.4,86.2,3.303
27.0,833.4,70.5,6.76,22.2,30.9,106.8,2.29
26.8,1009.4,77.3,5.5,65.8,42.7,55.4,3.196
23.6,622.5,69.2,6.0,43.5,2.0,141.2,2.613
28.9,682.5,70.8,6.65,58.4,20.9,131.7,2.38
28.8,505.3,50.0,7.22,23.6,33.2,113.3,2.561
28.0,638.9,79.2,6.41,13.9,48.0,84.8,2.536
27.3,844.3,73.5,6.11,61.4,22.6,113.2,2.691
23.8,939.2,80.0,6.33,52.5,2.0,61.7,2.461
26.7,519.5,41.0,6.95,27.0,39.3,124.2,2.124
27.0,967.4,90.9,6.14,27.6,20.5,156.0,3.372
25.6,1088.9,68.6,6.08,67.5,12.2,132.8,3.005
27.5,853.4,81.1,6.21,21.2,20.6,60.8,2.829
29.2,1219.2,59.6,6.02,77.9,27.2,104.5,3.083
33.7,556.6,76.1,6.45,27.0,20.9,38.3,2.27
28.5,438.8,59.5,7.05,57.8,2.0,112.9,2.521
28.8,305.3,63.8,6.53,38.4,43.5,108.0,1.807
27.8,1124.0,89.1,6.3,57.1,49.1,15.2,2.937
22.2,913.6,68.1,6.28,34.1,39.8,43.5,2.596
27.9,736.1,72.2,5.77,41.7,12.9,78.7,2.558
28.2,820.0,78.7,6.75,45.8,27.0,78.0,2.648
35.4,468.6,75.0,6.37,25.0,29.9,41.6,2.518
27.4,1361.4,71.5,6.33,59.8,39.0,105.6,3.569
28.9,782.3,73.6,7.5,34.7,40.0,100.1,2.834
27.9,777.3,94.0,6.52,40.4,19.0,82.2,2.379
24.5,931.4,69.4,6.1,25.1,31.2,59.8,2.583
31.4,870.3,72.0,6.23,5.0,36.9,131.9,3.134
30.3,806.0,80.5,6.86,41.2,51.8,156.2,3.063
30.4,552.4,81.1,6.45,93.3,40.6,70.7,2.212
25.3,867.9,81.9,5.82,60.7,41.8,65.5,2.769
32.2,1220.5,76.4,6.77,44.6,31.3,109.6,2.833
23.8,1086.4,58.6,6.13,39.7,51.2,75.7,2.908
29.8,1148.3,86.3,7.15,45.4,36.1,84.4,3.608
34.6,622.2,58.5,6.83,55.9,17.1,119.6,2.453
25.0,502.6,73.0,6.22,21.4,51.1,13.6,1.929
26.3,718.6,62.5,6.91,67.3,40.5,142.7,2.825
28.3,763.9,69.4,6.43,59.3,23.4,92.9,2.288
26.5,1023.5,73.3,6.74,59.4,22.8,73.5,2.745
23.3,326.9,73.2,6.59,53.8,34.4,86.4,2.146
28.2,1132.4,74.2,6.06,45.4,36.9,88.5,2.924
24.8,710.5,86.1,6.14,58.5,33.0,20.8,2.372
29.4,643.3,74.5,6.81,56.8,34.7,149.8,2.805
25.2,497.0,67.6,6.27,37.9,55.5,91.7,2.362
32.6,336.3,79.6,6.24,33.5,46.1,107.7,2.344
25.7,955.8,81.9,6.02,47.0,32.9,128.1,2.746
27.0,768.3,57.7,6.57,76.0,44.1,49.2,2.753
30.4,427.5,76.0,7.23,20.2,14.5,108.9,2.194
24.3,426.2,77.0,5.97,15.6,36.0,79.3,2.158
28.7,666.1,67.0,6.41,48.3,57.1,123.9,2.503
31.9,1167.3,83.8,6.96,46.0,26.7,10.0,3.096
23.2,685.1,68.5,6.37,48.5,17.3,86.0,2.138
28.6,374.2,71.3,6.58,49.9,20.2,65.9,2.155
28.8,688.6,68.3,5.98,40.5,13.7,107.3,2.335
30.3,681.8,70.2,6.57,74.8,18.2,108.8,2.396
24.3,200.0,59.0,6.33,13.0,24.4,61.7,1.814
24.0,736.4,55.6,6.79,28.4,8.9,61.5,2.439
29.6,692.3,85.9,6.87,42.9,30.2,85.6,2.778
28.9,924.1,61.5,7.44,12.1,43.5,54.1,2.63
28.8,1212.2,60.1,6.63,41.5,16.4,123.7,3.31
29.0,1031.6,48.5,6.53,78.2,52.8,75.2,3.22
26.0,682.8,63.6,6.48,45.4,37.7,10.0,2.532
28.7,473.4,56.8,6.26,49.6,45.5,75.0,2.118
28.9,1393.3,86.4,6.54,19.8,20.1,48.5,3.358
25.9,764.8,80.1,6.28,32.7,42.8,24.7,2.594
33.6,753.5,63.1,6.47,37.5,13.6,40.5,2.713
29.4,744.0,92.5,6.93,38.6,43.4,94.4,2.133
24.4,799.5,79.8,6.0,70.6,32.6,143.1,2.705
30.0,713.9,66.8,6.86,56.2,38.3,102.5,3.229
25.1,606.6,45.0,6.93,22.8,12.4,65.7,2.164
30.4,613.3,92.9,6.35,49.9,16.6,108.2,2.356
31.5,741.8,56.1,5.55,55.0,39.0,71.6,2.786
25.5,614.1,53.5,6.16,67.8,15.8,62.2,2.45
30.9,571.8,80.2,6.92,76.6,36.9,43.8,2.808
29.2,776.6,94.4,6.39,24.7,9.5,19.9,2.237
30.5,686.3,83.8,6.0,28.8,42.7,74.4,2.757
33.7,1126.0,75.6,6.2,19.8,11.5,96.3,3.313
27.3,200.0,75.9,6.74,40.3,38.3,86.1,1.901
25.7,1022.9,78.5,6.62,54.3,39.4,73.4,2.983
25.3,1061.5,77.6,6.3,64.7,19.5,52.2,3.156
25.6,231.7,72.8,6.25,43.5,38.7,114.3,2.176
27.8,664.3,71.0,6.24,38.6,33.9,37.3,2.163
29.0,657.1,69.4,6.03,48.0,21.9,121.0,2.755
28.8,398.1,62.5,7.05,28.3,14.9,49.9,2.092
30.5,555.5,67.2,6.27,86.8,2.0,59.9,2.49
28.0,472.4,53.1,6.89,12.8,35.2,31.3,2.18
32.4,1188.1,69.0,7.01,48.7,6.5,69.9,3.177
27.2,983.9,60.1,6.8,85.5,31.4,129.0,3.292
36.2,1067.9,59.0,6.23,45.1,26.0,110.6,3.238
29.9,930.4,71.8,6.56,41.2,40.2,129.1,2.667
25.4,467.7,83.9,6.39,37.9,25.5,110.9,2.109
24.8,618.9,79.2,6.04,41.4,25.1,45.9,2.34
29.4,872.3,54.3,6.53,72.5,41.0,76.8,3.183
27.3,444.5,60.1,5.93,5.0,35.0,58.8,2.261
30.1,928.2,79.4,6.88,75.7,34.7,143.2,2.797
29.4,689.9,60.2,6.21,16.5,37.0,42.1,3.112
27.8,656.3,67.8,6.48,39.7,7.0,125.7,2.567
25.5,927.7,75.5,6.51,36.4,41.4,125.7,3.122
23.5,861.1,60.3,6.3,56.8,39.2,163.2,2.691
26.7,659.8,71.1,6.63,13.0,14.7,73.6,2.506
30.6,1039.8,56.7,6.21,54.2,26.3,118.5,3.292
28.6,479.7,64.0,6.75,85.5,29.4,181.3,2.787
24.3,904.0,73.2,5.86,17.7,28.0,65.3,2.854
28.5,898.3,54.1,6.45,48.8,35.0,28.6,2.992
29.2,672.6,74.4,7.18,31.8,51.5,14.8,2.391
25.3,831.5,69.8,6.0,53.5,46.2,118.5,2.549
28.5,437.2,75.5,6.13,45.4,10.3,14.7,2.23
28.2,981.0,72.2,6.61,32.2,39.3,75.1,3.114
24.6,703.8,83.6,6.47,54.8,49.9,107.5,2.482
29.1,619.3,71.3,6.54,81.1,35.8,97.4,2.859
29.7,1012.3,65.7,6.6,41.2,46.4,107.0,3.388
31.2,573.9,71.2,6.65,59.4,60.2,98.9,2.361
31.2,397.9,75.4,6.84,19.1,45.4,141.2,2.1
23.9,360.8,70.5,6.56,25.9,33.7,51.9,1.931
25.2,901.5,70.4,6.3,54.4,45.7,62.9,2.81
29.5,429.9,63.0,6.67,74.7,32.2,59.1,2.183
29.5,1188.7,63.4,7.16,52.1,30.4,123.2,3.554
29.5,229.5,56.0,6.35,38.7,24.7,126.0,2.164
39.6,1174.1,87.5,6.01,45.0,53.5,108.0,3.526
29.7,802.8,57.6,6.84,20.0,17.7,137.3,2.347
31.4,725.8,63.1,6.35,57.1,53.0,42.9,2.378
30.9,613.8,62.8,5.53,62.6,37.5,156.7,2.688
30.0,849.8,78.9,6.74,36.0,9.0,150.9,2.276
27.1,740.6,67.1,6.19,35.6,35.5,119.4,2.848
30.3,1025.8,82.5,6.36,50.3,2.0,161.3,3.023
25.7,778.6,63.3,6.53,36.3,39.4,23.7,3.335
27.3,787.6,72.8,6.48,43.7,43.3,69.0,3.226
26.5,659.1,61.6,6.68,87.0,21.1,60.6,2.463
28.2,735.8,91.5,6.23,40.1,31.9,118.9,2.601
34.9,827.0,58.1,6.61,37.8,59.3,48.0,3.16
22.4,322.5,73.1,6.3,32.0,22.4,120.3,2.358
30.1,413.0,76.3,6.7,59.9,14.1,144.8,1.93
23.2,935.8,74.1,6.65,41.4,52.2,117.8,2.309
26.6,792.7,68.1,6.03,32.0,59.4,101.4,2.49
31.3,704.0,68.7,6.83,71.4,30.1,50.5,2.816
28.2,754.6,70.4,6.19,73.4,45.2,56.1,2.796
24.8,836.9,68.5,6.72,33.0,50.1,140.0,2.951
25.9,615.1,79.6,6.55,7.7,18.9,121.2,2.043
30.0,555.4,92.1,7.14,65.2,22.7,88.4,1.873
25.8,799.0,64.4,6.31,31.3,48.5,73.3,2.811
28.6,505.4,56.3,6.26,60.8,55.3,10.0,2.125
28.1,852.1,69.1,6.39,5.6,38.4,47.2,2.136
26.0,324.4,95.0,6.28,62.9,16.8,166.5,2.177
34.4,1007.3,62.0,6.72,20.8,59.8,38.8,3.263
29.9,868.1,86.4,5.75,59.6,22.0,97.6,2.786
21.9,814.0,86.8,5.98,45.3,25.0,130.3,2.417
28.6,995.7,64.5,5.97,25.9,35.1,39.8,2.796
26.0,1166.4,75.7,6.78,36.9,53.3,97.4,2.989
30.6,1003.6,86.3,7.08,58.7,42.8,127.5,2.73
25.6,289.8,66.2,6.36,47.1,36.2,90.5,1.834
27.7,430.1,68.0,6.33,56.7,36.9,204.7,2.507
29.5,593.8,64.2,6.43,84.5,30.7,23.3,2.578
30.6,756.5,59.9,6.86,13.7,38.4,132.3,2.732
24.4,879.4,63.5,6.03,77.3,2.0,83.1,2.421
27.0,568.6,57.8,6.5,47.1,25.6,120.9,2.365
26.6,796.7,70.3,6.79,27.0,33.6,107.7,2.072
26.0,561.2,62.3,6.6,18.4,12.7,60.7,2.275
33.3,597.1,72.3,6.48,41.2,35.8,99.2,2.972
29.2,398.3,54.4,6.8,63.4,26.9,15.7,1.818
24.2,519.2,73.3,5.5,42.4,56.3,114.1,2.101
30.8,412.1,78.3,6.67,75.2,53.6,101.9,2.49
34.4,506.0,50.1,6.14,16.0,23.0,115.5,2.781
31.1,1013.4,73.7,5.67,44.8,27.7,132.3,2.924
23.4,512.7,82.3,6.6,20.0,28.9,104.7,1.992
26.5,1408.1,57.9,6.95,52.3,23.2,95.9,2.87
31.8,873.3,86.7,6.35,62.7,32.9,54.8,2.915
25.9,796.2,74.2,6.78,36.6,18.6,61.5,3.057
29.3,535.4,62.9,7.04,5.0,13.0,137.5,2.396
30.3,925.1,69.4,6.93,49.0,39.3,147.5,2.962
25.2,606.1,75.6,7.06,53.7,39.4,80.5,2.448
27.8,780.5,70.8,6.7,53.1,17.9,91.8,2.648
18.3,1390.0,75.4,6.43,69.7,43.4,53.8,2.934
24.9,726.0,60.8,5.76,23.6,20.5,136.9,2.667
27.2,1037.3,71.7,6.3,58.6,33.8,116.6,3.057
24.3,574.2,55.9,6.06,68.9,42.3,167.6,2.434
32.9,741.3,68.9,7.27,9.4,29.5,54.9,2.377
23.7,1192.7,61.0,6.33,51.4,36.8,74.9,3.358
26.7,593.3,62.6,6.45,34.9,22.3,99.3,2.544
28.4,1203.1,82.4,6.62,43.4,27.1,115.9,3.06
32.3,926.9,80.9,6.42,52.0,26.9,81.4,3.218
23.7,609.4,76.1,7.08,35.3,18.8,55.1,2.108
31.5,908.1,59.1,6.15,31.5,27.3,125.3,2.716
28.0,993.1,66.8,6.48,45.7,6.8,118.8,2.726
25.1,905.5,82.1,6.1,23.3,22.6,53.3,2.176
29.4,357.4,71.4,5.87,23.3,25.7,144.2,2.292
28.6,568.2,93.2,6.16,58.6,26.2,136.8,2.023
26.2,688.1,73.9,6.39,22.0,26.4,95.4,2.143
28.2,731.4,71.9,6.23,58.3,29.1,93.2,2.11
